code,decoder,distance,rounds,physical_error_probability,shots,logical_errors_without_decoding,logical_errors_with_decoding,logical_error_rate_without_decoding,logical_error_rate_with_decoding
surface_code,single_error_lut,3,3,0.001,1000,6,8,0.006,0.008
surface_code,single_error_lut,3,3,0.003,1000,34,19,0.034,0.019
surface_code,single_error_lut,3,3,0.005,1000,54,24,0.054,0.024
surface_code,single_error_lut,3,3,0.01,1000,106,70,0.106,0.07
surface_code,single_error_lut,3,3,0.03,1000,271,236,0.271,0.236
surface_code,single_error_lut,3,3,0.05,1000,385,357,0.385,0.357
surface_code,single_error_lut,3,3,0.1,1000,468,453,0.468,0.453
surface_code,single_error_lut,5,5,0.001,1000,22,11,0.022,0.011
surface_code,single_error_lut,5,5,0.003,1000,104,61,0.104,0.061
surface_code,single_error_lut,5,5,0.005,1000,160,110,0.16,0.11
surface_code,single_error_lut,5,5,0.01,1000,272,256,0.272,0.256
surface_code,single_error_lut,5,5,0.03,1000,445,445,0.445,0.445
surface_code,single_error_lut,5,5,0.05,1000,456,456,0.456,0.456
surface_code,single_error_lut,5,5,0.1,1000,529,529,0.529,0.529
